airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,additiona_info,price
IndiGo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,No Info,3943
SpiceJet,2019-05-12,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No info,No Info,8844
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,In-flight meal not included,10262
Multiple carriers,2019-03-21,Delhi,Cochin,07:05:00,15:30:00,505,1.0,No info,No Info,14486
Jet Airways,2019-03-12,Mumbai,Hyderabad,08:15:00,16:35:00,500,2.0,No info,No Info,23843
Air Asia,2019-04-18,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,No Info,4483
IndiGo,2019-05-01,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No info,No Info,6218
IndiGo,2019-06-03,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No info,No Info,6442
Multiple carriers,2019-05-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,In-flight meal not included,9930
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,In-flight meal not included,10262
Air India,2019-06-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,No Info,5228
IndiGo,2019-04-03,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,No Info,3943
SpiceJet,2019-04-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,No check-in baggage included,4319
Vistara,2019-05-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,No Info,4668
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,05:05:00,1400,1.0,In-flight meal not included,In-flight meal not included,11087
SpiceJet,2019-05-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,No Info,3597
Vistara ,2019-03-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,No Info,9125
Jet Airways,2019-05-21,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No info,No Info,16079
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,In-flight meal not included,10262
IndiGo,2019-05-06,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,No Info,4823
Multiple carriers,2019-06-27,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,No Info,8099
IndiGo,2019-04-27,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,No Info,3943
IndiGo,2019-03-03,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No info,No Info,6860
IndiGo,2019-03-21,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No info,No Info,6860
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,No info,No Info,12284
IndiGo,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,No Info,7503
IndiGo,2019-05-15,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,No Info,4823
GoAir,2019-05-21,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No info,No Info,8855
GoAir,2019-05-27,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,No Info,6841
Air India,2019-03-01,Banglore,New Delhi,11:05:00,19:50:00,525,1.0,1 Long layover,1 Long layover,14594
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No info,No Info,13339
IndiGo,2019-05-09,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,No Info,4804
Multiple carriers,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,No Info,15147
Vistara,2019-03-24,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No info,No Info,4878
IndiGo,2019-05-09,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,No Info,5298
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No info,No Info,14388
IndiGo,2019-06-12,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No info,No Info,5883
Vistara,2019-03-01,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No info,No Info,21730
Air India,2019-06-24,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,No Info,11185
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No info,No Info,13731
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No info,No Info,14714
IndiGo,2019-03-18,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No info,No Info,5277
Air India,2019-06-09,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,No Info,7690
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,In-flight meal not included,In-flight meal not included,11150
Vistara,2019-03-09,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No info,No Info,7240
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No info,No Info,8290
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,No Info,14571
Air India,2019-03-21,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No info,No Info,6902
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No info,No Info,13882
SpiceJet,2019-04-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,No Info,3873
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No info,No Info,14781
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No info,No Info,13731
IndiGo,2019-03-06,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No info,No Info,4784
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,In-flight meal not included,In-flight meal not included,10539
Air Asia,2019-04-27,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,No Info,4483
IndiGo,2019-06-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,No Info,6316
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,No info,No Info,13044
Jet Airways,2019-06-24,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,In-flight meal not included,10262
GoAir,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,No Info,3898
IndiGo,2019-05-09,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No info,No Info,6442
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,In-flight meal not included,In-flight meal not included,7832
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,No info,No Info,14714
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,In-flight meal not included,10262
Multiple carriers,2019-06-01,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No info,No Info,11200
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,18:50:00,1385,1.0,No info,No Info,12347
SpiceJet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,No check-in baggage included,3859
Vistara,2019-05-03,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,No Info,4668
Jet Airways,2019-03-24,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,In-flight meal not included,In-flight meal not included,8147
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,In-flight meal not included,8586
SpiceJet,2019-05-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,No Info,3873
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No info,No Info,10953
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,In-flight meal not included,In-flight meal not included,10539
Jet Airways,2019-06-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,In-flight meal not included,3210
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No info,No Info,12681
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,In-flight meal not included,9663
Multiple carriers,2019-03-06,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,No Info,15077
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,No info,No Info,16079
Air India,2019-05-15,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No info,No Info,10651
IndiGo,2019-06-24,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,No Info,2227
Multiple carriers,2019-03-27,Delhi,Cochin,10:45:00,18:50:00,485,1.0,No info,No Info,11622
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,No Info,4409
Jet Airways,2019-06-01,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No info,No Info,14714
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No info,No Info,12284
Jet Airways,2019-06-24,Delhi,Cochin,18:20:00,04:25:00,605,2.0,No info,No Info,13775
Air India,2019-05-06,Delhi,Cochin,09:45:00,09:25:00,1420,,No info,No Info,7480
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,23:00:00,1450,1.0,No info,No Info,25735
Multiple carriers,2019-05-15,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No info,No Info,13727
IndiGo,2019-03-21,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No info,No Info,6528
Jet Airways,2019-05-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,In-flight meal not included,4030
IndiGo,2019-06-21,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,No Info,4804
SpiceJet,2019-05-21,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No info,No Info,4649
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No info,No Info,13014
Multiple carriers,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,No Info,12717
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No info,No Info,11467
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No info,No Info,13941
Multiple carriers,2019-05-18,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,No Info,13727
SpiceJet,2019-03-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,No check-in baggage included,3807
Air India,2019-03-18,Banglore,New Delhi,13:50:00,18:40:00,1730,1.0,No info,No Info,11161
Multiple carriers,2019-03-03,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No info,No Info,11966
Jet Airways,2019-03-03,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No info,No Info,17234
SpiceJet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No info,No Info,5575
Jet Airways,2019-03-03,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No info,No Info,17234
SpiceJet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,No check-in baggage included,3543
Air India,2019-05-06,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No info,No Info,10151
IndiGo,2019-05-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,No Info,7164
Multiple carriers,2019-05-27,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No info,No Info,9718
IndiGo,2019-05-27,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,No Info,6674
SpiceJet,2019-03-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,No Info,3384
Multiple carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No info,No Info,7997
Multiple carriers,2019-06-12,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,No Info,7198
Multiple carriers,2019-05-18,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No info,No Info,9794
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No info,No Info,16263
Multiple carriers,2019-05-18,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No info,No Info,14533
Air Asia,2019-06-09,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,No Info,6857
Air India,2019-04-12,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,No Info,5195
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,In-flight meal not included,3359
IndiGo,2019-03-21,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No info,No Info,6314
Jet Airways,2019-04-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,In-flight meal not included,4544
IndiGo,2019-03-18,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No info,No Info,4462
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No info,No Info,15554
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,No Info,7229
Jet Airways,2019-06-15,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No info,No Info,14300
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,No info,No Info,17261
Jet Airways,2019-06-27,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No info,No Info,8040
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No info,No Info,15129
IndiGo,2019-03-06,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No info,No Info,4778
Jet Airways,2019-06-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,In-flight meal not included,7754
Jet Airways,2019-06-24,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No info,No Info,12819
IndiGo,2019-04-24,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,No Info,4423
Air India,2019-03-21,Banglore,New Delhi,06:55:00,23:20:00,985,1.0,No info,No Info,6987
IndiGo,2019-05-03,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,No Info,4332
Multiple carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1.0,In-flight meal not included,In-flight meal not included,7308
IndiGo,2019-04-09,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,No Info,7398
Air Asia,2019-03-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,No Info,3782
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,In-flight meal not included,8586
Jet Airways,2019-05-03,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,No Info,7229
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,No Info,5678
SpiceJet,2019-05-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,No Info,4423
Jet Airways,2019-05-06,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No info,No Info,15554
IndiGo,2019-03-03,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No info,No Info,6565
IndiGo,2019-03-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,No Info,4148
Multiple carriers,2019-06-24,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No info,No Info,10678
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,No Info,15554
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,In-flight meal not included,10844
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,No Info,4483
Air India,2019-03-24,Kolkata,Banglore,09:10:00,21:50:00,760,2.0,No info,No Info,15187
GoAir,2019-05-01,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No info,No Info,4340
SpiceJet,2019-03-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,No Info,3847
IndiGo,2019-06-27,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No info,No Info,3419
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No info,No Info,13067
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No info,No Info,16289
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,In-flight meal not included,12373
SpiceJet,2019-05-24,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,No check-in baggage included,3841
Multiple carriers,2019-06-15,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No info,No Info,8937
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,22:55:00,1500,1.0,No info,No Info,12395
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No info,No Info,14781
Air India,2019-06-24,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,No Info,7480
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,In-flight meal not included,5963
Multiple carriers,2019-05-15,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No info,No Info,7670
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,No Info,14781
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,In-flight meal not included,10919
Multiple carriers,2019-05-15,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,No Info,13727
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,In-flight meal not included,10844
Air India,2019-03-12,Banglore,New Delhi,11:05:00,22:10:00,665,2.0,No info,No Info,11948
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No info,No Info,12681
IndiGo,2019-05-15,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,No Info,4332
IndiGo,2019-03-27,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No info,No Info,3175
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No info,No Info,14151
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,In-flight meal not included,13344
IndiGo,2019-03-27,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No info,No Info,6412
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No info,No Info,13067
IndiGo,2019-03-03,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No info,No Info,10394
IndiGo,2019-04-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,No Info,3419
Multiple carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,No Info,13587
Air India,2019-06-09,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No info,No Info,8372
IndiGo,2019-05-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,No Info,3943
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,20:45:00,855,1.0,In-flight meal not included,In-flight meal not included,7064
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,In-flight meal not included,6287
Jet Airways,2019-06-24,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,In-flight meal not included,10262
IndiGo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No info,No Info,5894
Multiple carriers,2019-06-01,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No info,No Info,9526
SpiceJet,2019-03-09,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No info,No Info,5126
Multiple carriers,2019-03-27,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No info,No Info,6637
IndiGo,2019-04-03,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No info,No Info,3419
SpiceJet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,No check-in baggage included,3841
Jet Airways,2019-05-21,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No info,No Info,15129
IndiGo,2019-06-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No info,No Info,6442
Jet Airways,2019-05-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,In-flight meal not included,4995
Air India,2019-06-03,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,No Info,6934
Air India,2019-05-21,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No info,No Info,13276
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,In-flight meal not included,10262
IndiGo,2019-05-18,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,No Info,4804
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,In-flight meal not included,10703
Air Asia,2019-06-24,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,No Info,3807
IndiGo,2019-04-09,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,No Info,4823
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,In-flight meal not included,4544
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,1 Short layover,1 Short layover,26743
Jet Airways,2019-05-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,No Info,7229
IndiGo,2019-03-09,Banglore,New Delhi,15:40:00,20:35:00,295,1.0,No info,No Info,5226
Multiple carriers,2019-06-01,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No info,No Info,12524
Jet Airways,2019-05-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,In-flight meal not included,4030
Multiple carriers,2019-05-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No info,No Info,8073
IndiGo,2019-05-18,Chennai,Kolkata,15:40:00,18:25:00,165,0.0,No info,No Info,3850
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No info,No Info,15554
Air India,2019-03-21,Banglore,New Delhi,08:15:00,08:50:00,1475,1.0,No info,No Info,4943
Jet Airways,2019-05-27,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,In-flight meal not included,12898
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,In-flight meal not included,10844
IndiGo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No info,No Info,6171
IndiGo,2019-05-27,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No info,No Info,7514
Jet Airways,2019-06-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,In-flight meal not included,7229
Vistara,2019-03-21,Banglore,New Delhi,06:40:00,21:55:00,915,1.0,No info,No Info,6065
Air India,2019-05-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,No Info,5510
Air India,2019-06-24,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,No Info,9443
Jet Airways,2019-03-12,Banglore,New Delhi,05:50:00,15:00:00,550,1.0,No info,No Info,11297
Air India,2019-05-27,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No info,No Info,7174
SpiceJet,2019-06-12,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No info,No Info,3873
Multiple carriers,2019-06-24,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,No Info,13377
Air India,2019-03-03,Banglore,New Delhi,19:10:00,10:35:00,925,2.0,No info,No Info,13355
SpiceJet,2019-05-18,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,No Info,6297
Air India,2019-05-27,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,No Info,6961
Multiple carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,No Info,7618
IndiGo,2019-06-03,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No info,No Info,6093
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,In-flight meal not included,5769
Air India,2019-03-24,Banglore,New Delhi,06:55:00,13:20:00,385,1.0,No info,No Info,7932
Multiple carriers,2019-06-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,No Info,12192
Air India,2019-04-01,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No info,No Info,7893
Multiple carriers,2019-06-06,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No info,No Info,8266
IndiGo,2019-06-18,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,No Info,3943
